2020-05-27 15:02:44,401 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@78c03f1f: startup date [Wed May 27 15:02:44 CEST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-05-27 15:02:45,146 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Desktop\apache-activemq-5.15.12\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2020-05-27 15:02:45,658 | INFO  | PListStore:[D:\Desktop\apache-activemq-5.15.12\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-05-27 15:02:45,790 | INFO  | Apache ActiveMQ 5.15.12 (localhost, ID:Machine-Desktop-54453-1590584565668-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-05-27 15:02:45,841 | INFO  | Listening for connections at: tcp://Machine-Desktop:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-27 15:02:45,844 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-05-27 15:02:45,848 | INFO  | Listening for connections at: amqp://Machine-Desktop:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-27 15:02:45,849 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-05-27 15:02:45,854 | INFO  | Listening for connections at: stomp://Machine-Desktop:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-27 15:02:45,856 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-05-27 15:02:45,861 | INFO  | Listening for connections at: mqtt://Machine-Desktop:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-27 15:02:45,862 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2020-05-27 15:02:45,867 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2020-05-27 15:02:45,939 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2020-05-27 15:02:46,077 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@34158c08{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2020-05-27 15:02:46,128 | INFO  | Listening for connections at ws://Machine-Desktop:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2020-05-27 15:02:46,129 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2020-05-27 15:02:46,132 | INFO  | Apache ActiveMQ 5.15.12 (localhost, ID:Machine-Desktop-54453-1590584565668-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-05-27 15:02:46,134 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-05-27 15:02:46,725 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2020-05-27 15:02:46,726 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2020-05-27 15:03:12,832 | WARN  | Transport Connection to: tcp://127.0.0.1:54479 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54479@61616
2020-05-27 15:03:12,833 | WARN  | Transport Connection to: tcp://127.0.0.1:54480 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54480@61616
2020-05-27 15:34:13,434 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5ce81285: startup date [Wed May 27 15:34:13 CEST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-05-27 15:34:14,085 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Desktop\apache-activemq-5.15.12\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
